bestPSNR_wbest, bestPSNR_wlast, PSNR_wbest, PSNR_wlast
32.134467363357544, 32.39413022994995, 23.946757316589355, 24.017784595489502
30.671004056930542, 30.574026107788086, 15.974445343017578, 15.97712755203247
32.94929504394531, 33.1813907623291, 24.40925359725952, 24.469196796417236
33.11187386512756, 33.296769857406616, 23.319830894470215, 23.336541652679443
31.880770921707153, 31.893479824066162, 17.836668491363525, 17.83510446548462
33.79976034164429, 33.99580121040344, 24.15369987487793, 24.226722717285156
35.61939001083374, 35.8705735206604, 24.101405143737793, 24.115760326385498
33.33148121833801, 33.646589517593384, 24.494707584381104, 24.54249143600464
33.38352918624878, 33.68464946746826, 23.37965488433838, 23.40690851211548
33.072348833084106, 33.35010290145874, 24.457297325134277, 24.51237916946411
33.87987971305847, 34.170228242874146, 24.29832696914673, 24.33467388153076
30.798966884613037, 30.739717483520508, 15.90378999710083, 15.906801223754883
33.5335910320282, 33.758777379989624, 23.158302307128906, 23.162615299224854
32.57981777191162, 32.89120316505432, 24.22644853591919, 24.302525520324707
33.93099904060364, 34.177085161209106, 24.168591499328613, 24.249298572540283
34.94157433509827, 35.2081298828125, 24.276065826416016, 24.313817024230957
33.25005769729614, 33.527177572250366, 24.522502422332764, 24.573285579681396
34.01804327964783, 34.279417991638184, 24.14653778076172, 24.23241376876831
31.940191984176636, 32.201770544052124, 24.07191038131714, 24.149863719940186
33.03370714187622, 33.34758162498474, 23.912994861602783, 23.960113525390625
34.40903186798096, 34.694944620132446, 24.24306631088257, 24.28581953048706
33.848830461502075, 34.16552662849426, 24.26412343978882, 24.34349775314331
32.92705535888672, 33.13020586967468, 20.554726123809814, 20.54029941558838
32.99590587615967, 33.23360323905945, 24.79574203491211, 24.83271598815918
33.906768560409546, 34.17196869850159, 24.929025173187256, 24.959473609924316
34.39567565917969, 34.63781118392944, 22.424159049987793, 22.421045303344727
33.41308355331421, 33.66718649864197, 24.960293769836426, 24.983768463134766
32.36312985420227, 32.617307901382446, 24.150733947753906, 24.224367141723633
33.25396418571472, 33.56074810028076, 24.529004096984863, 24.571034908294678
33.223910331726074, 33.47448229789734, 24.484829902648926, 24.52558994293213
31.461384296417236, 31.635875701904297, 18.64450454711914, 18.61783266067505
31.03242039680481, 31.06490135192871, 17.046971321105957, 17.042195796966553
33.974928855895996, 34.286571741104126, 24.886629581451416, 24.910542964935303
31.087894439697266, 31.19178533554077, 17.348623275756836, 17.33811855316162
33.12804102897644, 33.36655855178833, 24.23919677734375, 24.314913749694824
33.460426330566406, 33.66205453872681, 21.079068183898926, 21.060636043548584
32.90301561355591, 33.18535566329956, 24.428322315216064, 24.487569332122803
33.02712678909302, 33.2564902305603, 24.438223838806152, 24.495363235473633
32.07602024078369, 32.32674241065979, 23.963708877563477, 24.019253253936768
33.36449980735779, 33.622498512268066, 24.256620407104492, 24.325783252716064
32.46896505355835, 32.769516706466675, 23.98838520050049, 24.05608892440796
33.162325620651245, 33.451595306396484, 24.938600063323975, 24.971458911895752
32.69022226333618, 32.911049127578735, 20.280332565307617, 20.265514850616455
33.946486711502075, 34.19495105743408, 24.304471015930176, 24.37385082244873
32.589478492736816, 32.585753202438354, 18.553242683410645, 18.554413318634033
33.50935459136963, 33.82060766220093, 24.944076538085938, 24.97058391571045
32.9759681224823, 33.2745623588562, 24.583518505096436, 24.64531898498535
33.69887709617615, 33.908129930496216, 24.152920246124268, 24.231467247009277
33.09282302856445, 33.38679075241089, 24.861135482788086, 24.901976585388184
32.397507429122925, 32.68039584159851, 20.48936367034912, 20.463900566101074
33.79516124725342, 34.05411124229431, 21.90577507019043, 21.904168128967285
31.620458364486694, 31.84797167778015, 19.675278663635254, 19.65461492538452
34.500579833984375, 34.74143981933594, 23.56405258178711, 23.59224557876587
34.15570855140686, 34.41258788108826, 24.25884246826172, 24.296960830688477
33.39617729187012, 33.62281322479248, 23.204259872436523, 23.215928077697754
34.795626401901245, 35.048625469207764, 22.98208713531494, 22.991859912872314
32.8881561756134, 33.155479431152344, 24.7975492477417, 24.83907461166382
34.15162801742554, 34.44024443626404, 24.85612154006958, 24.881999492645264
32.59478807449341, 32.92636752128601, 23.998796939849854, 24.069514274597168
30.96987009048462, 30.96100926399231, 17.187273502349854, 17.18217372894287
33.14184546470642, 33.44038248062134, 24.283578395843506, 24.335250854492188
35.24495720863342, 35.48857092857361, 23.79295825958252, 23.814640045166016
33.91306400299072, 34.13248300552368, 24.198427200317383, 24.274005889892578
35.32263398170471, 35.59323787689209, 24.152026176452637, 24.181129932403564
33.893738985061646, 34.127655029296875, 24.192874431610107, 24.266629219055176
31.225961446762085, 31.193668842315674, 16.452457904815674, 16.454901695251465
32.13948607444763, 32.32755422592163, 19.695706367492676, 19.677648544311523
