bestPSNR_wbest, bestPSNR_wlast, PSNR_wbest, PSNR_wlast
31.96684956550598, 31.958364248275757, 31.652151346206665, 31.859179735183716
31.16048753261566, 31.123182773590088, 30.948172211647034, 31.01195454597473
32.15837836265564, 32.19886302947998, 32.01780915260315, 32.17375993728638
33.92763018608093, 33.93030881881714, 33.64732503890991, 33.840575218200684
32.297316789627075, 32.34704256057739, 32.10097074508667, 32.26251244544983
34.901052713394165, 34.87643480300903, 34.445451498031616, 34.750598669052124
35.635045766830444, 35.65191149711609, 35.37968993186951, 35.586228370666504
32.76105046272278, 32.78563141822815, 32.61883735656738, 32.764824628829956
32.970309257507324, 33.01835536956787, 32.889909744262695, 33.00486207008362
31.635441780090332, 31.659281253814697, 31.513044834136963, 31.639219522476196
33.3875846862793, 33.42214584350586, 33.21368455886841, 33.39589834213257
30.931621193885803, 30.870357155799866, 30.694069862365723, 30.698209404945374
34.17231798171997, 34.17024254798889, 33.924914598464966, 34.07435417175293
31.480776071548462, 31.51026725769043, 31.371679306030273, 31.498466730117798
34.7689151763916, 34.74437713623047, 34.39759969711304, 34.656898975372314
34.848084449768066, 34.853864908218384, 34.58492875099182, 34.79266285896301
32.62845158576965, 32.66101956367493, 32.45842456817627, 32.62816309928894
34.73676919937134, 34.75087642669678, 34.299495220184326, 34.63345766067505
31.610103845596313, 31.630295515060425, 31.349852085113525, 31.561964750289917
33.00026297569275, 33.037269115448, 32.79549717903137, 33.00003528594971
34.02324557304382, 34.050246477127075, 33.84878873825073, 34.01652812957764
34.22756910324097, 34.2155385017395, 33.892966508865356, 34.127734899520874
32.61216402053833, 32.68910884857178, 32.48177647590637, 32.648937702178955
32.8703248500824, 32.88846135139465, 32.64885663986206, 32.82977342605591
33.59865665435791, 33.655394315719604, 33.39656591415405, 33.59483480453491
33.99008870124817, 33.99508833885193, 33.855013847351074, 33.963154554367065
32.508286237716675, 32.58650302886963, 32.33307361602783, 32.53795146942139
32.030510902404785, 32.047462463378906, 31.77274227142334, 31.985020637512207
32.703447341918945, 32.734068632125854, 32.58883714675903, 32.72252917289734
32.088027000427246, 32.11348533630371, 31.98102593421936, 32.101088762283325
31.653428077697754, 31.726850271224976, 31.47841453552246, 31.648991107940674
31.372300386428833, 31.43060326576233, 31.17288112640381, 31.324591636657715
33.54907035827637, 33.60847592353821, 33.352617025375366, 33.54792356491089
31.426141262054443, 31.46923303604126, 31.283141374588013, 31.42200231552124
33.44171762466431, 33.429856300354004, 33.09875965118408, 33.324700593948364
33.22151303291321, 33.300392627716064, 33.14159154891968, 33.293858766555786
32.00746774673462, 32.044100761413574, 31.84492826461792, 32.01199650764465
31.498655080795288, 31.510002613067627, 31.380579471588135, 31.489708423614502
32.14630126953125, 32.13593363761902, 31.86548948287964, 32.05587387084961
33.53487968444824, 33.54002833366394, 33.27028155326843, 33.481409549713135
32.10077166557312, 32.131171226501465, 31.95855736732483, 32.11621165275574
33.22608947753906, 33.27568531036377, 32.942854166030884, 33.173333406448364
32.65683889389038, 32.75926947593689, 32.46686816215515, 32.69135236740112
34.256449937820435, 34.267646074295044, 33.95394206047058, 34.181928634643555
33.19659173488617, 33.20426106452942, 33.051490783691406, 33.12145113945007
32.97551989555359, 33.02468180656433, 32.77725100517273, 32.96314716339111
32.90932059288025, 32.961329221725464, 32.595611810684204, 32.86254525184631
34.31740164756775, 34.30718660354614, 33.97656321525574, 34.23321843147278
33.06106209754944, 33.08497905731201, 32.789061069488525, 32.99461364746094
32.40278244018555, 32.46682643890381, 32.3216438293457, 32.46061682701111
33.282190561294556, 33.32846760749817, 33.15134525299072, 33.31353306770325
31.703271865844727, 31.80564522743225, 31.536104679107666, 31.760746240615845
34.866840839385986, 34.87796187400818, 34.69796657562256, 34.829992055892944
33.92956852912903, 33.943434953689575, 33.748438358306885, 33.9046049118042
34.01193857192993, 34.02406096458435, 33.78753662109375, 33.95197153091431
34.01067137718201, 34.016525745391846, 33.868030309677124, 33.994654417037964
32.805542945861816, 32.83575415611267, 32.57676362991333, 32.77249217033386
33.64643931388855, 33.68149995803833, 33.431265354156494, 33.60564947128296
32.13711857795715, 32.164145708084106, 31.960573196411133, 32.13556408882141
31.59817934036255, 31.661723256111145, 31.376105546951294, 31.586196422576904
32.098621129989624, 32.09845185279846, 31.965720653533936, 32.076250314712524
35.31172752380371, 35.32821536064148, 35.097815990448, 35.27276158332825
34.28405404090881, 34.29312586784363, 34.02115345001221, 34.24478530883789
35.22140979766846, 35.21544933319092, 35.05620718002319, 35.189640522003174
34.08973574638367, 34.115495681762695, 33.72519016265869, 34.00993824005127
31.316630840301514, 31.30132019519806, 31.17028057575226, 31.2152361869812
32.17463135719299, 32.23895072937012, 32.03773736953735, 32.20139980316162
