bestPSNR_wbest, bestPSNR_wlast, PSNR_wbest, PSNR_wlast
28.745836639492126, 29.237418879712035, 28.659217399147547, 29.2365939471209
25.893422868414657, 26.17933005129969, 25.850122651582588, 26.17885369163993
24.43064925498523, 24.83955338704428, 24.370366213407323, 24.83852659915965
31.71004589614076, 32.259401903323976, 31.071686719720038, 32.24624617852373
22.037079286658063, 22.485990041306298, 21.996825335617515, 22.477225673433374
21.127535432476225, 21.56074294303486, 21.07513770716162, 21.56068353476391
28.659733374550353, 29.11498102216572, 28.611909945044786, 29.11455632522273
31.311526476141633, 31.84889250418337, 31.047088415552537, 31.845601960304073
25.629984291659138, 26.157000610345882, 25.57055652235853, 26.071203132155716
30.13975664791856, 31.277060176425096, 30.09940988577084, 31.24901644144537
30.07246465513428, 30.875177310372727, 30.023116033660187, 30.87133053343342
26.992608216670494, 27.396372396895288, 26.839369125614898, 27.38938784909587
27.621014698399776, 28.10397520291586, 27.544716921197086, 28.101753811691257
27.86665844921788, 28.594399893405775, 27.82079801124185, 28.591693882512093
28.09200801293555, 28.52001391514221, 28.02402131131827, 28.519823572447976
24.59637673073607, 24.947183692321847, 24.518790886703023, 24.934073179269937
22.686438769603626, 23.16788122548028, 22.618334837608494, 23.14059657666451
25.18237781722339, 25.479355412885297, 25.118502055785285, 25.463936295452463
27.935906869884427, 28.456047181973837, 27.88452098710312, 28.454669759558307
27.25924216247129, 27.95300722086799, 27.220871025471595, 27.951959431409772
27.068482730241556, 27.548140883701336, 27.050101791994983, 27.534232624324943
32.83737074888745, 33.76204475028422, 32.08838027641052, 33.760673460577486
26.423543337160893, 26.887965932902844, 26.376572373722592, 26.88553705568992
26.80608016757336, 27.418568502391746, 26.641506581536305, 27.41408165414896
24.87129610506868, 25.249605461157444, 24.863573909165645, 25.223446313758913
26.48833930531063, 27.008362570025362, 26.46029619602947, 27.00469494099845
27.323538470741717, 27.8109846543089, 27.200922250289743, 27.80099426599564
26.471109403766157, 26.865485259585867, 26.41484500625549, 26.858335392177317
25.25682244582331, 25.414318810218916, 25.13182173949299, 25.412581496091967
25.472085049587957, 25.880182688122172, 25.448196798182696, 25.854489041070977
28.49998025993275, 29.349907435337453, 28.469332234757356, 29.332859929483767
27.926351797829405, 28.220275465194575, 27.773008367992823, 28.219960208205677
28.653862018368965, 29.40333613932171, 28.53706362150929, 29.38518121851501
25.26495260500354, 25.636699255461696, 25.172971578382068, 25.624580345390996
26.833353894139265, 27.22878187512367, 26.798962656947264, 27.19303607515535
27.34020953991009, 27.72056976798754, 27.159108907351484, 27.71832620133803
27.777622332802434, 28.189788771922494, 27.73290399354471, 28.179572875191695
28.283531994329234, 28.904368936801205, 28.075887623456232, 28.90413511783377
29.443367225336758, 30.213929164888032, 29.40488118787446, 30.203143921604617
25.8847172145543, 26.415837448141104, 25.82866078958981, 26.413323249291427
31.343559649961854, 32.3015810806204, 30.487331211493377, 32.28564285804798
28.941307291255793, 29.273394795516605, 28.858524764165765, 29.27291469759877
24.312307419017884, 24.768508112124913, 24.25286039056016, 24.75422743351293
28.743078935333468, 29.323281694090443, 28.708726774115394, 29.307633510083598
27.39738575203264, 27.93226042631415, 27.34470499430942, 27.9282948828516
28.87075643356681, 29.364494014012113, 28.77570809427189, 29.36000570696726
27.248436969879233, 27.68743674229328, 27.186539393728797, 27.68390460842751
27.056908556996977, 27.455560611930593, 27.016165589778623, 27.42787872262121
26.041882176504174, 26.691051159716995, 26.012167579008313, 26.689326700174078
26.36019793733712, 26.852471033817956, 26.245466990103292, 26.847792487827014
26.03490078007748, 26.52239865413033, 26.031559198537394, 26.470522329603746
27.091119679903162, 27.531319463359306, 27.055290203800364, 27.530579018936912
31.051208126935776, 32.27447786566374, 30.37276712159256, 32.256651167288545
26.367220205411087, 26.75042710818544, 26.303642892998383, 26.744916752159277
27.766348094938103, 28.163423552510462, 27.686553654312057, 28.155318547933035
23.203988278250588, 23.5363560880104, 23.172043431473938, 23.51087703143869
25.398186428146385, 25.883665981442466, 25.34645428579467, 25.86652684392003
31.53453280629655, 32.61967804617454, 31.48346128456148, 32.61686832072364
24.200793117793005, 24.613758214201955, 24.161253393544893, 24.557732209235393
25.12553875870907, 25.660256579458583, 25.066997723671395, 25.652955782871167
28.74391107198964, 29.006423693794233, 28.697300363405535, 29.005111570475524
28.282683463347286, 28.646065657082794, 28.137103111831, 28.64144959058879
28.63262086356361, 29.245531021612873, 28.5341776173852, 29.232502787244165
24.71160597859446, 25.08061820876658, 24.634427210122816, 25.07845788448854
25.779032238737766, 26.3834417000903, 25.69847801912718, 26.379402490194746
25.647762903672984, 26.067307311949357, 25.60408603818979, 26.06362910467423
24.184770186789823, 24.707702120940702, 24.11609378830245, 24.686618002472574
28.1205512385513, 28.51988774397926, 27.790384908539078, 28.51050481395295
