bestPSNR_wbest, bestPSNR_wlast, PSNR_wbest, PSNR_wlast
32.80400037765503, 33.1041145324707, 24.268603324890137, 24.141242504119873
31.212345957756042, 31.87783181667328, 16.16593360900879, 16.02027177810669
33.92337679862976, 34.12344932556152, 24.853496551513672, 24.58397388458252
33.612141609191895, 33.84196162223816, 23.571817874908447, 23.524901866912842
32.49673247337341, 33.15480291843414, 18.023676872253418, 17.867422103881836
34.14244055747986, 34.39326286315918, 24.47498321533203, 24.248180389404297
36.08341455459595, 36.29451274871826, 24.417498111724854, 24.194254875183105
34.13813352584839, 34.30072903633118, 24.892191886901855, 24.608962535858154
34.626561403274536, 35.01495122909546, 23.716530799865723, 23.62523317337036
34.111939668655396, 34.25655245780945, 24.8929500579834, 24.638803005218506
34.763875007629395, 34.98829960823059, 24.690608978271484, 24.440248012542725
31.34634792804718, 32.03341245651245, 16.08851671218872, 15.944738388061523
34.17090177536011, 34.42370057106018, 23.401811122894287, 23.364133834838867
33.92481088638306, 34.22977685928345, 24.680263996124268, 24.439454078674316
34.43005442619324, 34.741472005844116, 24.539997577667236, 24.300556182861328
35.51029562950134, 35.69066286087036, 24.631106853485107, 24.380054473876953
33.85517358779907, 34.046852588653564, 24.892456531524658, 24.633195400238037
34.56159949302673, 34.830607175827026, 24.497828483581543, 24.26555871963501
32.91973829269409, 33.18439245223999, 24.44923162460327, 24.286766052246094
33.94094467163086, 34.28577780723572, 24.28314447402954, 24.13003444671631
35.05788803100586, 35.229079723358154, 24.597349166870117, 24.338362216949463
34.53317165374756, 34.73037242889404, 24.650168418884277, 24.401216506958008
33.68528962135315, 34.03603553771973, 20.7706880569458, 20.608491897583008
33.57596755027771, 33.74238967895508, 25.15315294265747, 24.86043930053711
34.38491344451904, 34.551429748535156, 25.263755321502686, 24.932451248168945
35.013030767440796, 35.23403882980347, 22.676613330841064, 22.482614517211914
34.25787568092346, 34.46753978729248, 25.335776805877686, 25.020465850830078
33.023598194122314, 33.32491874694824, 24.502112865447998, 24.315011501312256
34.1395103931427, 34.35606002807617, 24.93523597717285, 24.662225246429443
33.99714112281799, 34.173502922058105, 24.872267246246338, 24.62557315826416
32.183380126953125, 32.6199209690094, 18.82371187210083, 18.661746978759766
31.609294414520264, 32.213813066482544, 17.232978343963623, 17.07744836807251
34.63127136230469, 34.81689929962158, 25.2449893951416, 24.923927783966064
31.736849546432495, 32.31466352939606, 17.535395622253418, 17.379581928253174
33.70834827423096, 33.96346569061279, 24.606542587280273, 24.390220642089844
34.290651082992554, 34.66162919998169, 21.278514862060547, 21.116220951080322
33.868175745010376, 34.04823541641235, 24.847595691680908, 24.591045379638672
34.02179956436157, 34.18472170829773, 24.867889881134033, 24.601752758026123
32.65569567680359, 32.99145579338074, 24.26257848739624, 24.128994941711426
33.846503496170044, 34.10842776298523, 24.602608680725098, 24.372620582580566
33.62250089645386, 33.911473751068115, 24.362616539001465, 24.213345050811768
33.87207508087158, 34.04536724090576, 25.300581455230713, 24.978961944580078
33.26568126678467, 33.548898696899414, 20.486648082733154, 20.312743186950684
34.57531690597534, 34.79730486869812, 24.68945026397705, 24.439387321472168
33.222461342811584, 33.83040726184845, 18.73849868774414, 18.585126399993896
34.214874505996704, 34.35259819030762, 25.27207612991333, 24.95466947555542
33.62405061721802, 33.864405155181885, 24.93375062942505, 24.670288562774658
34.05644774436951, 34.295172691345215, 24.491984844207764, 24.25854206085205
33.60729455947876, 33.815855979919434, 25.203611850738525, 24.90468978881836
32.99481153488159, 33.30151677131653, 20.6927490234375, 20.539751052856445
34.445680379867554, 34.64674353599548, 22.177705764770508, 21.98103427886963
32.19015121459961, 32.51723647117615, 19.871079921722412, 19.718177318572998
34.80363965034485, 35.01626133918762, 23.895070552825928, 23.66041660308838
34.807326793670654, 34.99153971672058, 24.615178108215332, 24.363722801208496
34.06386375427246, 34.315552711486816, 23.450324535369873, 23.417675495147705
35.68583607673645, 35.86826801300049, 23.26812505722046, 23.053908348083496
33.6934757232666, 33.87713432312012, 25.176730155944824, 24.89023208618164
34.79751706123352, 34.97897148132324, 25.195553302764893, 24.887354373931885
33.7942111492157, 34.10517334938049, 24.369659423828125, 24.224438667297363
31.38964295387268, 31.986048817634583, 17.372446060180664, 17.220678329467773
34.13325786590576, 34.33069348335266, 24.718797206878662, 24.473414421081543
35.66981077194214, 35.896079540252686, 24.112188816070557, 23.894336223602295
34.57726001739502, 34.80378270149231, 24.60366725921631, 24.361538887023926
35.79899787902832, 35.98676919937134, 24.49223279953003, 24.25358295440674
34.56774711608887, 34.80421304702759, 24.57021713256836, 24.339191913604736
31.80733025074005, 32.49230980873108, 16.641669273376465, 16.495344638824463
32.78507471084595, 33.111382722854614, 19.90072011947632, 19.737493991851807
