bestPSNR_wbest, bestPSNR_wlast, PSNR_wbest, PSNR_wlast
29.416742770160944, 29.558086984206618, 28.572685315292368, 29.326469174709928
31.344743125437027, 31.385019956754874, 30.860247986731338, 31.23738922551466
29.73594556396184, 29.783269863777043, 29.11970453774424, 29.59806072211456
30.491127107757293, 31.16133910355986, 30.003612051149943, 30.907638291531335
31.60321624669595, 31.922760115561566, 30.883558612833838, 31.625626104742288
32.43457074927315, 32.55062080939746, 31.562615198763854, 32.46773232266651
31.208922521218142, 31.289814442706444, 30.804654605788564, 31.209005964469853
30.22973858882588, 30.278397129307102, 29.7141241449119, 30.1341067175129
29.024167575770747, 29.04616424538669, 28.622341473289175, 28.92536443640944
32.34910066484443, 33.13874797056007, 32.003944112468595, 32.99369280245993
33.53660175688816, 33.85779073169742, 33.17764702605113, 33.715098754461486
29.50250440447919, 29.57953209126947, 29.225420112504338, 29.503823554002388
29.14386190101351, 29.24366452734661, 28.586790434245664, 28.990358359670815
27.305300465612035, 27.18258528673703, 26.02418151717004, 27.12101866668771
30.214798766854514, 30.511606493113952, 29.445552259509633, 30.17397753847589
31.79757001624027, 32.14848766273276, 31.075200558232183, 31.82532704246416
31.943871140023028, 32.20094652928101, 31.38892227538266, 32.057813560111065
30.4757451528436, 30.602840415092203, 29.818533362755176, 30.381087630119623
25.025485915626867, 25.00263546672287, 23.35007907498851, 24.967608501365014
31.353267318495014, 31.691376870286824, 30.784476275232066, 31.596556139156547
29.17501063651713, 29.30304083084561, 28.745873395103693, 29.28151775132516
35.5639898880448, 35.99617110124564, 35.09701765887637, 35.94481544865229
31.9980301559753, 32.2605672630935, 31.214656681482566, 31.908376389295597
32.24216922476398, 32.29947276584796, 31.303563526920648, 31.95181982743634
32.8264838584757, 33.12229936387025, 31.940299441964214, 32.714057201131794
31.22251067391604, 31.48503068426114, 30.45399837664838, 31.219391616878127
33.80939077740505, 33.92306655382372, 32.90337413463936, 33.61839192067229
30.721614812986523, 31.112960223470743, 30.041534640948747, 30.976664664955784
31.15102797225829, 32.012406463331246, 30.683909527116896, 31.747102732225322
35.08372882660558, 35.51720964350558, 34.690109794260245, 35.409403125487636
31.41639628625032, 31.60091150723524, 30.837882847466012, 31.48971010763283
31.317405625352862, 31.740064300306585, 30.60870096541465, 31.48039983954866
29.505546216454853, 29.501824097271665, 29.10503675165672, 29.440266161537494
34.90729808795085, 34.875763014780546, 34.392151728081885, 34.7009543058512
26.577221102704037, 26.553458652417003, 25.714516732469008, 26.49751825351111
33.30930174899083, 33.891490710280316, 32.98670790439243, 33.81942178482451
29.939490762601707, 30.084501078869792, 29.304108348640312, 29.923276198406896
31.29663420466536, 31.561640477816248, 30.672655612684572, 31.43330482681516
31.472657528971652, 31.660652391302563, 30.81773572661843, 31.50179880633737
30.64986317998369, 30.785405270288464, 29.78446542715075, 30.525126090445568
29.99276613485901, 30.10373440499898, 29.66717247274073, 30.026317355204768
32.171669823824296, 32.443395797789506, 31.71508387921577, 32.25563782694286
33.295638754488266, 33.79242083610223, 32.86090731690196, 33.56667289769673
29.9274348897154, 30.013566040680786, 29.545102059002275, 29.916048979417276
32.53027934520356, 32.69632015740806, 31.27454639399734, 32.14248480740767
31.854846536846985, 32.068470306751514, 30.744069341853304, 31.70778490468176
26.900618853376464, 26.683734020375816, 25.89739771393611, 26.556074514914666
32.77962537218842, 32.96712633764288, 32.37368954589224, 32.8557304695415
30.811409454734857, 31.105645921947726, 29.748513280033272, 30.58653120533544
29.642045492549535, 29.580407629870574, 29.03956328144817, 29.57236613418879
32.244668649355674, 32.53399613946632, 31.38778900882683, 32.18522608470805
